Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
09/26/2016 01:45:42.462 	com.microsoft.Word	0xb0831000	                        com.microsoft.Word	Memory Resource Usage	a5ia1	Information 	CurrentProcessWideMemoryUsage {"ScopeInstance": 3, "BytesUsedDelta": 1249280, "BytesUsedAtComplete": 62951424}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.464 	com.microsoft.Word	0xb0831000	                        com.microsoft.Word	Scope Summary	a5ia1	Information 	{"ScopeName": "Mso::Telemetry::RuleManager::LoadXmlRules", "StartTime": 2016-09-26T01:45:42Z, "DurationToCompleteInMilliseconds": 12, "DurationToCompleteInMillisecondsHighPrecision": 12.962575, "ScopeInstance": 3, "ScopeParentInstance": 0, "TopActivityInstance": 3, "Success": true}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.498 	com.microsoft.Word	0xb0197000	                        com.microsoft.Word	Experiment Liblet	bdlxx	Information 	EDGE request GUID and response numberline info {"RequestGUID": "AB1CD358-9E5E-684A-81C0-B61070F5E177", "FlightNumberlineInfo": "preallocation=userbasedstrategy"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.512 	com.microsoft.Word	0xb0197000	                        com.microsoft.Word	Experiment Liblet	bbpzs	Information 	FlightNumberlineInfo {"FlightNumberlineInfo": "preallocation=userbasedstrategy", "LockType": 2, "ECSConfigs": "P-R-18363-1-8,P-R-18651-3-7,P-R-18924-1-7,P-R-18164-26268-3,P-R-18351-2-4,P-R-19279-1-3,P-R-19354-1-3"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.824 	com.microsoft.Word	0xb0197000	                        com.microsoft.Word	WebServiceApi	ayvua	Information 	[ServiceRequestHelper] ProcessRequest {"Message": "Request was Successfully processed", "RequestId": 1, "HttpStatusCode": 200}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.828 	com.microsoft.Word	0xb0197000	                        com.microsoft.Word	Identity SharedCred Client	a9iej	Information 	[SharedCred] LoadAllCreds {"Message": "Loading stored credentials for prefix.", "CredType": "live:cid="}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.828 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	Identity Authentication Client	awuur	Information 	[IdentityManager] AreCredsDifferent {"Message": "Background Tasks with differences.", "IdentityProvider": "LiveId", "Size": 0}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.829 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	Identity SharedCred Client	a9iej	Information 	[SharedCred] LoadAllCreds {"Message": "Loading stored credentials for prefix.", "CredType": "ADAL:"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.829 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	IdentityADALClient	a0kaz	Information 	[ADALLibrary] InitIdentities {"Message": "Initializing ADAL identities."}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.829 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	Identity Authentication Client	awuu4	Information 	[IdentityManager] ReloadIdentities {"Message": "Reloading identities for identity provider.", "IdentityProvider": "ADAL"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.829 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	Identity Authentication Client	awuu6	Information 	[IdentityManager] ReloadIdentities {"Message": "Skipping initialization of identities from creds for provider.", "IdentityProvider": "ADAL"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.829 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	Identity Authentication Client	awuu4	Information 	[IdentityManager] ReloadIdentities {"Message": "Reloading identities for identity provider.", "IdentityProvider": "SSPI"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.829 	com.microsoft.Word	0xb0115000	                        com.microsoft.Word	Identity SharedCred Client	a9iej	Information 	[SharedCred] LoadAllCreds {"Message": "Loading stored credentials for prefix.", "CredType": "SSPI:"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
